id,project_id,keyword
1,9,Vocabulary
2,10,Vocabulary
3,14,Vocabulary
4,17,Vocabulary
5,19,Vocabulary
6,24,Vocabulary
7,29,Keywords political attitudes democracy
8,30,Vocabulary
9,31,Vocabulary
10,32,Vocabulary
11,33,Vocabulary
12,35,Vocabulary
13,36,Vocabulary
14,37,Vocabulary
15,38,Vocabulary
16,39,Vocabulary
17,42,Vocabulary
18,43,Vocabulary
19,44,Vocabulary
20,45,Keywords investment business
21,46,Vocabulary
22,47,Vocabulary
23,51,Vocabulary
24,52,Vocabulary
25,54,Keywords well-being quality of life
26,55,Vocabulary
27,57,Vocabulary
28,59,Keywords Household Services Income Expenditure
29,62,Vocabulary
30,64,Vocabulary
31,65,Vocabulary
32,67,Vocabulary
33,69,Vocabulary
34,72,Keywords income expenditure
35,73,Vocabulary
36,76,Vocabulary
37,77,Vocabulary
38,78,Vocabulary
39,79,Keywords microenterprise micro enterprise informal sole proprietary
40,81,Keywords income consumption intra-household relationships well-being
41,83,Vocabulary
42,85,Vocabulary
43,86,Vocabulary
44,94,Keywords labour market employment income informal sector
45,95,Keywords media goods ownership
46,97,Vocabulary
47,100,Keywords media goods ownership
48,101,Keywords media goods ownership
49,102,Keywords media goods ownership
50,103,Keywords civic participation democracy elections mass media political attitudes
51,104,Keywords media goods ownership
52,105,Keywords media goods ownership
53,106,Keywords labour employment wages occupation work
54,107,Keywords agriculture consumption demography education expenditure fertility health housing income land use literacy numeracy poverty
55,108,Vocabulary
56,109,Keywords media goods ownership
57,110,Keywords financial zambia servces quality money finance
58,113,Keywords media goods ownership
59,114,Keywords media goods ownership
60,115,Vocabulary
61,116,Vocabulary
62,117,Vocabulary
63,119,Keywords media goods ownership
64,120,Keywords media goods ownership
65,121,Keywords agriculture consumption demography education expenditure fertility health housing income land use literacy numeracy poverty
66,123,Keywords Labour and Employment [3] Education [6] Health [8] Housing and Land Use Planning [10] Transport
67,123,Travel and Mobility [11] Demography and Population [14] Social Welfare Policy and Systems [15]
68,124,Keywords media goods ownership
69,127,Keywords media goods ownership
70,129,Vocabulary
71,132,Vocabulary
72,136,Vocabulary
73,138,Keywords Education South Asia Open educational practices Global South Open educational resources Metasynthesis South America Sub-Saharan Africa Southeast Asia
74,139,Vocabulary
75,140,Vocabulary
76,141,Vocabulary
